,word,count
308,alabaster,1
309,alala,1
310,alameda,1
311,alan,38
312,alani,3
313,alanine,1
314,alarm,29
315,alarming,1
316,alas,36
317,alb,1
318,alba,3
319,albeit,1
320,albino,1
321,album,237
322,alcazar,1
323,alchemy,1
324,alco,1
325,alcohol,38
326,alcoholic,3
327,alcove,1
328,ale,15
329,alec,1
330,alen,1
331,alert,19
332,alf,2
333,alfa,1
334,alfonso,1
335,algae,3
336,algebra,5
337,algum,1
338,alias,2
339,alibi,1
340,alien,23
341,alienate,1
342,alif,1
343,alight,1
344,align,3
345,alignment,1
346,alike,25
347,alison,8
348,alive,86
349,aliyah,1
350,alkaline,3
351,all,6
352,allan,3
353,allegedly,1
354,aller,1
355,allergic,24
356,allergist,1
357,allergy,39
358,alleviate,1
359,alley,11
360,alliance,1
361,allies,1
362,alligator,2
363,alliteration,1
364,allot,2
365,allotment,2
366,allow,131
367,allowance,1
368,allspice,1
369,allure,1
370,ally,18
371,alma,1
372,almond,1
373,almost,367
374,alms,1
375,alo,1
376,aloe,7
377,alone,225
378,along,138
379,alongside,1
380,aloof,1
381,aloud,10
382,alp,3
383,alpaca,4
384,alpha,9
385,alphabet,4
386,already,877
387,alright,159
388,alrighty,11
389,also,728
390,alt,6
391,alter,5
392,altern,2
393,alternate,7
394,alternately,1
395,alternating,1
396,alternative,12
397,alternatively,1
398,alternator,2
399,altho,13
400,although,163
401,altitude,1
402,alto,8
403,altogether,2
404,alum,2
405,aluminium,1
406,aluminum,3
407,alumni,2
408,alway,4
409,always,1254
410,aly,7
411,am,1
412,ama,1
413,amar,1
414,amateur,7
415,amateurish,2
416,amaze,10
417,amazed,13
418,amazement,1
419,amazing,635
420,amazingly,19
421,ambassador,1
422,amber,29
423,ambience,1
424,ambient,1
425,ambiguous,1
426,ambiguously,1
427,ambition,4
428,ambitious,1
429,ambivalent,1
430,ambulance,1
431,ame,3
432,ameen,1
433,amelia,5
434,amen,39
435,amends,2
436,amethyst,2
437,ami,6
438,amid,1
439,amidst,2
440,amil,1
441,amin,2
442,amir,4
443,ammo,1
444,ammunition,2
445,amnesia,1
446,amok,1
447,among,11
448,amongst,7
449,amor,5
450,amount,39
451,amper,1
452,amphitheater,1
453,amt,1
454,amuse,8
455,amused,8
456,amusement,1
457,amusing,19
458,amusingly,1
459,amy,74
460,an,2
461,ana,17
462,anaesthesia,1
463,anal,8
464,analogy,7
465,analyses,1
466,analysis,6
467,analyst,2
468,analytic,1
469,analytical,2
470,analytics,6
471,analyze,1
472,anam,1
473,anaphylaxis,1
474,anatomy,8
475,ancestor,2
476,anchor,3
477,anchovy,1
478,ancient,7
479,and,1
480,anda,1
481,android,6
482,anecdote,1
483,anemia,1
484,anemic,1
485,aneurysm,1
486,anew,2
487,angel,73
488,angelic,1
489,angelica,3
490,angelically,1
491,angelique,1
492,anger,11
493,angle,15
494,angled,1
495,angrily,1
496,angry,49
497,angst,6
498,ani,10
499,anil,1
500,anima,1
501,animal,80
502,animate,1
503,animated,9
504,animating,1
505,animation,7
506,anime,19
507,ankle,33
508,anklet,1
509,ann,41
510,anna,39
511,annex,1
512,anniversary,31
513,announce,14
514,announcement,19
515,announcer,2
516,annoy,60
517,annoyance,1
518,annoying,153
519,annoyingly,4
520,annual,9
521,annually,1
522,anon,2
523,anonymity,2
524,anonymous,7
525,anorexia,1
526,another,592
527,ansa,1
528,ansu,1
529,answer,283
530,ant,19
531,antagonist,2
532,antenna,2
533,antes,1
534,anthem,8
535,anthill,1
536,anthology,1
537,anti,9
538,antibacterial,1
539,antibiotic,7
540,antic,4
541,anticipate,2
542,anticipation,4
543,anticlimax,3
544,anticlockwise,1
545,antidote,1
546,antipodean,1
547,antique,10
548,antisocial,1
549,antivirus,3
550,antler,1
551,anvil,3
552,anxiety,17
553,anxious,15
554,anxiously,3
555,anybody,35
556,anyhow,17
557,anyone,301
558,anyplace,1
559,anything,638
560,anyway,370
561,anyways,99
562,anywhere,97
563,apa,8
564,apache,2
565,apar,4
566,apart,57
567,apartment,35
568,ape,3
569,aperture,3
570,aphrodisiac,1
571,aplenty,1
572,apocalypse,1
573,apologize,18
574,apology,22
575,apostrophe,2
576,appalling,1
577,apparel,1
578,apparent,8
579,apparently,167
580,appeal,6
581,appealing,7
582,appear,63
583,appearance,10
584,appetite,9
585,appetizer,2
586,applaud,1
587,applause,1
588,apple,158
589,applejack,1
590,appliance,2
591,applicable,2
592,applicant,2
593,application,26
594,applied,13
595,apply,37
596,appoint,4
597,appointment,22
598,apport,1
599,appreciate,146
600,appreciation,11
601,appreciative,2
602,apprehensive,1
603,apprentice,10
604,approach,14
605,approachable,1
606,approaching,3
607,appropriate,13
608,approval,11
609,approve,17
610,approximately,2
611,approximation,1
612,apricot,1
613,apron,5
614,apt,26
615,aptly,1
616,aqua,1
617,aquarium,6
618,ar,12
619,arbor,3
620,arborescence,1
621,arcade,4
622,arch,7
623,archangel,1
624,archer,1
625,archery,1
626,archetype,1
627,architect,1
628,architectural,1
629,architecture,1
630,archive,5
631,arctic,2
632,are,11
633,area,105
634,arena,10
635,arent,57
636,argo,1
637,argue,10
638,argument,17
639,aria,3
640,ariel,6
641,aright,1
642,arisen,1
643,arist,1
644,arjun,1
645,ark,3
646,arm,44
647,armada,1
648,armchair,1
649,armed,2
650,armhole,1
651,armor,4
652,armored,2
653,armory,2
654,arms,52
655,army,12
656,arni,2
657,aroma,3
658,arose,1
659,around,597
660,arouse,1
661,arrange,5
662,arrangement,6
663,arrest,15
664,arrival,7
665,arrive,32
666,arrogant,6
667,arrow,13
668,arrowhead,1
669,arse,13
670,arsenal,7
671,arsenic,1
672,art,119
673,artha,1
674,artichoke,1
675,article,93
676,articulate,1
677,articulated,1
678,artifact,1
679,artificial,1
680,artisan,1
681,artist,60
682,artistic,2
683,arty,2
684,ary,3
685,ascendant,1
686,ascension,1
687,ash,59
688,ashame,3
689,ashamed,20
690,ashes,10
691,ashy,1
692,aside,8
693,ask,561
694,asleep,152
695,asoka,1
696,asp,1
697,aspect,5
698,aspire,1
699,aspirin,1
700,aspiring,1
701,ass,239
702,assassin,7
703,assassinate,3
704,assassination,2
705,assault,1
706,assemble,1
707,assembly,3
708,assertive,1
709,assess,2
710,assessment,4
711,asset,2
712,assets,3
713,asshead,1
714,assign,11
715,assigned,1
716,assignment,26
717,assist,7
718,assistance,6
719,assistant,13
720,associated,1
721,association,5
722,assorted,1
723,assume,23
724,assumed,7
725,assuming,17
726,assumption,7
727,assurance,1
728,assure,4
729,assured,1
730,assuredly,1
731,ast,1
732,astely,1
733,asthma,9
734,astigmatism,2
735,astonishing,2
736,astonishingly,1
737,astor,1
738,astringent,1
739,astrological,2
740,astrology,3
741,astronaut,4
742,astronomer,2
743,astronomical,1
744,astronomy,1
745,astrophysics,1
746,aswell,42
747,asylum,6
748,at,2
749,ate,114
750,atheist,10
751,athlete,4
752,athletic,3
753,athletics,1
754,atlantic,8
755,atlas,1
756,atmosphere,8
757,atom,2
758,atop,1
759,atopic,1
760,atrocious,2
761,atta,1
762,attach,3
763,attached,16
764,attachment,2
765,attack,71
766,attempt,65
767,attend,49
768,attendance,4
769,attention,74
770,attentive,1
771,attic,5
772,attire,2
773,attitude,22
774,attract,5
775,attraction,5
776,attractive,12
777,attribute,2
778,attrition,1
779,auburn,3
780,auction,12
781,audacious,1
782,audible,1
783,audience,14
784,audio,33
785,audit,14
786,audition,17
787,augh,1
788,augmented,1
789,august,71
790,aunt,38
791,auntie,9
792,aura,2
793,aural,1
794,aurora,1
795,austrium,11
796,authentic,7
797,authentication,2
798,authenticator,1
799,author,26
800,authorized,1
801,authorship,2
802,autism,1
803,autistic,1
804,auto,19
805,autobahn,1
806,autogiro,1
807,autograph,23
808,automatic,6
809,automatically,11
810,automotive,2
811,autopilot,1
812,autumn,7
813,ava,5
814,avail,9
815,availability,3
816,available,89
817,aval,2
818,ave,8
819,avenue,2
820,aver,1
821,average,20
822,avert,1
823,averted,2
824,aviation,4
825,aviator,1
826,avid,7
827,avocado,3
828,avoid,44
829,aw,364
830,await,22
831,awake,133
832,awaken,5
833,award,112
834,aware,19
835,awareness,3
836,away,688
837,awe,77
838,awee,10
839,awesome,1308
840,awesomely,8
841,awesomeness,17
842,awful,111
843,awfully,8
844,awhile,51
845,awkward,32
846,awkwardness,3
847,awning,1
848,ax,2
849,axe,2
850,axed,1
851,axes,1
852,axis,1
853,axle,1
854,ay,13
855,aye,34
856,azure,3
857,b,530
858,ba,25
859,baa,1
860,baar,2
861,baba,8
862,babble,1
863,babby,2
864,babe,222
865,babu,1
866,babushka,1
867,baby,576
868,bac,4
869,bachelor,5
870,back,2422
871,backache,1
872,backdoor,1
873,backdrop,1
874,backed,13
875,background,107
876,backing,12
877,backlash,1
878,backlog,1
879,backside,3
880,backstage,9
881,backup,24
882,backwards,14
883,backwater,1
884,backwoods,1
885,bacon,43
886,bacteria,1
887,bad,1492
888,badan,1
889,bade,1
890,badge,16
891,badger,9
892,badly,64
893,badminton,6
894,bae,9
895,bafta,1
896,bag,105
897,bagel,16
898,baggage,1
899,bagging,1
900,baggy,3
901,bah,33
902,bail,19
903,bailey,6
904,bait,3
905,baith,1
906,baka,4
907,bakal,1
908,bake,22
909,baked,20
910,baker,9
911,bakery,8
912,bakie,1
913,baking,16
914,balai,3
915,balance,15
916,balanced,4
917,balancing,1
918,balcony,11
919,bald,14
920,baldness,1
921,bale,4
922,bali,9
923,balk,1
924,ball,107
925,ballad,2
926,balled,1
927,baller,1
928,ballerina,2
929,ballet,13
930,balloon,11
931,ballot,3
932,balm,2
933,balmy,1
934,baloney,1
935,balsa,1
936,bam,7
937,bamboo,6
938,bamboozle,7
939,ban,26
940,banal,1
941,banana,46
942,banc,1
943,banca,1
944,band,178
945,banda,1
946,bandage,1
947,bandit,4
948,bandy,2
949,bane,5
950,bang,34
951,banger,2
952,banging,5
953,bangkok,3
954,bangle,1
955,banish,3
956,banjo,4
957,bank,75
958,banked,1
959,banker,1
960,banking,6
961,bankrupt,2
962,bankruptcy,4
963,banner,17
964,banning,4
965,banquet,2
966,banshee,1
967,bantayan,1
968,banter,6
969,bap,4
970,baptism,2
971,bar,117
972,bara,1
973,barangay,1
974,barb,6
975,barbarian,1
976,barbary,1
977,barbe,1
978,barbecue,4
979,barbed,1
980,barber,6
981,barbershop,2
982,barcelona,9
983,bard,4
984,bare,9
985,barefaced,1
986,barefoot,4
987,barely,65
988,bargain,4
989,baring,1
990,bark,8
991,barker,4
992,barkhan,1
993,barking,3
994,barley,4
995,barm,1
996,barman,1
997,barn,6
998,barney,3
999,baroque,1
1000,barrack,1
1001,barracuda,1
1002,barrage,3
1003,barred,1
1004,barrel,4
1005,barren,1
1006,barrier,2
1007,barring,1
1008,barrowman,1
1009,barry,10
1010,bartender,2
1011,bartending,2
1012,barton,2
1013,baru,2
1014,bas,3
1015,basal,1
1016,base,12
1017,baseball,45
1018,based,40
1019,basement,13
1020,bases,4
1021,bash,19
1022,bashful,1
1023,basic,16
1024,basically,46
1025,basil,5
1026,basin,1
1027,basis,9
1028,bask,3
1029,basket,9
1030,basketball,23
1031,bass,22
1032,basset,1
1033,bassinet,1
1034,bast,1
1035,basta,3
1036,bastard,21
1037,basten,1
1038,baster,1
1039,bat,8
1040,batch,12
1041,bate,1
1042,bateman,2
1043,bath,37
1044,bathing,5
1045,bathroom,34
1046,bathtub,5
1047,batman,14
1048,baton,3
1049,bats,5
1050,batt,2
1051,batter,6
1052,battered,2
1053,battery,47
1054,batting,4
1055,battle,23
1056,battlefield,6
1057,batty,3
1058,baw,1
1059,bawl,9
1060,bay,39
1061,baya,1
1062,bayou,2
1063,bazaar,3
1064,be,1
1065,beach,191
1066,beached,2
1067,beachy,1
1068,beacon,3
1069,bead,7
1070,beagle,3
1071,beak,2
1072,beal,3
1073,beam,5
1074,beamed,5
1075,beaming,1
1076,bean,43
1077,beanery,1
1078,beanie,2
1079,bear,67
1080,beard,14
1081,bearded,1
1082,bearer,2
1083,bearing,2
1084,beast,19
1085,beastie,2
1086,beat,155
1087,beata,1
1088,beaten,9
1089,beater,1
1090,beating,24
1091,beau,1
1092,beauti,1
1093,beautician,1
1094,beautification,1
1095,beautiful,408
1096,beautifully,9
1097,beauty,52
1098,beaver,3
1099,bebop,1
1100,beck,12
1101,become,87
1102,becomes,14
1103,becoming,36
1104,bed,634
1105,bedchamber,1
1106,bedder,1
1107,bedding,1
1108,bedmate,1
1109,bedroom,22
1110,bedtime,24
1111,bee,32
1112,beef,19
1113,beefin,3
1114,beer,182
1115,bees,12
1116,beeswax,1
1117,beet,3
1118,beetle,2
1119,beetroot,1
1120,befittingly,1
1121,beforehand,5
1122,befriend,2
1123,beg,15
1124,beggar,1
1125,begging,11
1126,begin,61
1127,beginner,3
1128,beginning,47
1129,begun,10
1130,behalf,8
1131,behave,12
1132,behavior,7
1133,behaviour,3
1134,beheld,1
1135,behind,122
1136,behold,2
1137,beholder,2
1138,beige,2
1139,bejewel,1
1140,bekah,2
1141,bel,4
1142,bela,1
1143,belated,18
1144,belatedly,1
1145,beleave,1
1146,belga,1
1147,belief,6
1148,believe,374
1149,believer,4
1150,believing,10
1151,belive,13
1152,bell,39
1153,belle,7
1154,belligerent,1
1155,belly,30
1156,bellyache,1
1157,belong,27
1158,belonging,1
1159,beloved,10
1160,belt,14
1161,beluga,2
1162,bely,1
1163,bemoaning,1
1164,ben,70
1165,bench,5
1166,bend,12
1167,bended,1
1168,bender,1
1169,bending,2
1170,bendy,4
1171,bene,2
1172,beneath,4
1173,beneficial,2
1174,benefit,29
1175,benet,1
1176,benign,1
1177,benj,1
1178,benjamin,4
1179,benn,1
1180,benny,5
1181,bent,3
1182,bequeath,1
1183,ber,1
1184,berat,1
1185,bere,1
1186,bereavement,1
1187,berg,5
1188,berger,1
1189,berlin,24
1190,berri,7
1191,berry,16
1192,bes,3
1193,beside,18
1194,besides,62
1195,besmirch,1
1196,besot,1
1197,bespoke,2
1198,best,918
1199,bet,246
1200,beta,54
1201,beth,27
1202,betide,1
1203,betray,4
1204,better,1655
1205,betterer,1
1206,betting,7
1207,betty,16
1208,beverage,8
1209,bevy,2
1210,beware,3
1211,bewitching,1
1212,bey,2
1213,beyond,39
1214,bezzi,1
1215,bhoy,1
1216,bias,8
1217,bibi,2
1218,biceps,1
1219,bicker,1
1220,bicycle,11
1221,bicyclist,1
1222,bid,14
1223,bidder,1
1224,bidding,6
1225,biddy,1
1226,bidet,1
1227,bien,2
1228,big,649
1229,bigg,1
1230,bigger,54
1231,biggest,59
1232,biggin,1
1233,bigot,2
1234,bigotry,1
1235,bike,91
1236,bikini,18
1237,bilingual,2
1238,bilingualism,1
1239,bill,99
1240,billabong,1
1241,billboard,2
1242,billfold,1
1243,billing,1
1244,billion,8
1245,billionaire,2
1246,billionth,2
1247,billy,39
1248,biltong,1
1249,bin,17
1250,binary,2
1251,bind,1
1252,binder,2
1253,binding,4
1254,bine,1
1255,bing,32
1256,binge,6
1257,bingle,1
1258,bingo,6
1259,bink,3
1260,bint,3
1261,biochemistry,1
1262,biography,1
1263,biological,2
1264,biologist,1
1265,biology,14
1266,biopsy,1
1267,bios,1
1268,bipolar,1
1269,bird,75
1270,birdie,5
1271,birdy,2
1272,birth,20
1273,birthday,523
1274,birthplace,1
1275,bis,2
1276,biscuit,19
1277,bisexual,3
1278,bismillah,1
1279,bit,707
1280,bitch,171
1281,bite,58
1282,biting,9
1283,bitten,6
1284,bitter,16
1285,bittersweet,6
1286,bitty,1
1287,biz,10
1288,bizarre,10
1289,bizz,3
1290,blabber,1
1291,black,202
1292,blackberry,73
1293,blackbird,1
1294,blacken,1
1295,blackey,1
1296,blackheads,1
1297,blackie,1
1298,blackjack,3
1299,blackmail,3
1300,blackness,1
1301,blackout,5
1302,bladder,3
1303,blade,9
1304,blading,1
1305,blah,64
1306,blain,2
1307,blair,15
1308,blake,6
1309,blame,76
1310,blamed,3
1311,blaming,6
1312,blanc,3
1313,bland,3
1314,blank,28
1315,blanket,13
1316,blanketed,1
1317,blanky,2
1318,blare,2
1319,blart,1
1320,blase,1
1321,blasphemer,1
1322,blasphemy,2
1323,blast,67
1324,blasted,3
1325,blasting,11
1326,blatant,1
1327,blatantly,3
1328,blather,1
1329,blaze,4
1330,blazer,5
1331,blazing,2
1332,bleach,6
1333,bleached,2
1334,bleacher,1
1335,bleaching,1
1336,bleak,2
1337,bleary,1
1338,bleating,1
1339,bleed,9
1340,bleeding,14
1341,blend,3
1342,blended,2
1343,blender,9
1344,blending,1
1345,bless,111
1346,blessed,36
1347,blessing,17
1348,blighty,3
1349,blimp,1
1350,blind,19
1351,blinding,3
1352,blindly,1
1353,blindness,1
1354,blink,34
1355,blinker,1
1356,blinking,1
1357,blinks,2
1358,blip,40
1359,bliss,19
1360,blissful,4
1361,blister,8
1362,blistered,1
1363,blisteringly,1
1364,blitz,1
1365,blizz,1
1366,blizzard,4
1367,blo,1
1368,bloat,2
1369,bloated,5
1370,blob,5
1371,blobby,1
1372,bloc,1
1373,block,98
1374,blockage,1
1375,blockbuster,7
1376,blocked,70
1377,blocker,1
1378,blockhead,12
1379,blocking,12
1380,bloke,13
1381,blonde,40
1382,blood,58
1383,bloodline,2
1384,bloody,79
1385,bloom,8
1386,blooming,4
1387,blooper,6
1388,blore,5
1389,blossom,3
1390,blot,1
1391,blow,70
1392,blower,1
1393,blowfish,1
1394,blowing,11
1395,blown,16
1396,blowout,3
1397,blue,140
1398,blueberry,11
1399,bluegrass,1
1400,blueprint,1
1401,blues,17
1402,bluey,1
1403,bluff,1
1404,blunder,1
1405,blunt,9
1406,blur,4
1407,blurb,1
1408,blurred,1
1409,blurry,6
1410,blurt,1
1411,blush,19
1412,blushing,6
1413,bo,15
1414,boa,5
1415,boar,1
1416,board,61
1417,boarder,2
1418,boarding,4
1419,boardwalk,2
1420,boast,1
1421,boat,80
1422,boating,3
1423,boatload,2
1424,bob,39
1425,boba,1
1426,bobbin,1
1427,bobbing,1
1428,bobble,1
1429,bobby,27
1430,bobotie,3
1431,bocce,1
1432,bod,4
1433,bodacious,1
1434,bode,2
1435,body,135
1436,bodyguard,3
1437,bogan,1
1438,bogle,1
1439,bogus,2
1440,bohemium,1
1441,boho,2
1442,boil,2
1443,boiled,6
1444,boiler,2
1445,boiling,5
1446,bojo,1
1447,bola,1
1448,bold,16
1449,boldly,2
1450,bolis,1
1451,bollock,8
1452,bolo,1
1453,bolt,3
1454,bom,8
1455,bomb,26
1456,bombard,2
1457,bombed,5
1458,bomber,3
1459,bombshell,1
1460,bon,14
1461,bond,15
1462,bondage,1
1463,bonding,6
1464,bone,35
1465,boned,1
1466,boneless,2
1467,bonfire,7
1468,bong,4
1469,bongo,2
1470,bonk,2
1471,bonus,22
1472,boo,294
1473,boob,24
1474,booby,4
1475,boohoo,14
1476,book,466
1477,bookcase,2
1478,booked,30
1479,booker,2
1480,bookie,2
1481,booking,5
1482,bookkeeping,2
1483,booklet,2
1484,bookmark,16
1485,bookseller,1
1486,bookshelf,5
1487,bookstore,7
1488,bool,1
1489,boom,38
1490,boomer,2
1491,booming,1
1492,boon,1
1493,boondocks,2
1494,boost,11
1495,booster,7
1496,boot,20
1497,booted,5
1498,booth,25
1499,bootleg,3
1500,boots,28
1501,booty,14
1502,booze,16
1503,boozer,1
1504,bop,3
1505,bor,1
1506,bord,1
1507,border,15
1508,bordering,2
1509,borderline,4
1510,bore,309
1511,boredom,21
1512,boree,1
1513,borg,2
1514,boring,149
1515,born,48
1516,boro,2
1517,borough,1
1518,borrow,39
1519,borrowing,4
1520,bose,2
1521,boss,65
1522,bossy,4
1523,boston,55
1524,bot,30
1525,botanic,1
1526,botanical,1
1527,botch,1
1528,botched,1
1529,bother,67
1530,bothersome,1
1531,bottle,68
1532,bottled,5
1533,bottleneck,1
1534,bottom,52
1535,bottomed,1
1536,boud,1
1537,boudoir,1
1538,bouffant,1
1539,bouge,1
1540,bought,177
1541,boulder,5
1542,bounce,16
1543,bouncer,1
1544,bouncing,6
1545,bound,21
1546,boundary,4
1547,boundless,1
1548,bouquet,4
1549,bourbon,6
1550,bourgeois,1
1551,bourn,3
1552,bout,241
1553,bovine,1
1554,bow,21
1555,bowel,1
1556,bowels,1
1557,bowery,1
1558,bowie,1
1559,bowing,1
1560,bowl,18
1561,bowler,2
1562,bowling,19
1563,bowls,3
1564,bowwow,1
1565,box,142
1566,boxer,11
1567,boxing,7
1568,boxy,1
1569,boy,452
1570,boycott,2
1571,boyish,2
1572,bra,10
1573,brace,5
1574,bracelet,14
1575,braces,9
1576,bracket,4
1577,brad,28
1578,brag,4
1579,bragger,1
1580,bragging,4
1581,braid,9
1582,braided,2
1583,braiding,1
1584,brain,95
1585,brainer,1
1586,brains,7
1587,brainwash,2
1588,brainy,1
1589,brake,6
1590,braker,1
1591,bran,5
1592,branch,8
1593,branching,1
1594,brand,39
1595,branded,1
1596,brandy,16
1597,brant,1
1598,brass,2
1599,brassiere,1
1600,brat,14
1601,brave,21
1602,bravery,1
1603,braving,1
1604,bravo,10
1605,brawl,4
1606,brawn,3
1607,brazil,42
1608,bread,71
1609,breadwinner,1
1610,break,262
1611,breakdown,13
1612,breaker,11
1613,breakfast,136
1614,breaking,51
1615,breakout,3
1616,breakthrough,6
1617,breakup,4
1618,breast,12
1619,breasted,1
1620,breastfeeding,5
1621,breath,35
1622,breathe,29
1623,breathing,18
1624,breathless,1
1625,bred,3
1626,bree,9
1627,breeches,1
1628,breed,10
1629,breeder,2
1630,breeding,1
1631,breeze,12
1632,breezy,3
1633,brent,4
1634,bret,3
1635,brett,6
1636,brevity,1
1637,brew,7
1638,brewer,3
1639,brewery,4
1640,brewing,8
1641,briar,2
1642,bribe,9
1643,bribery,2
1644,brick,10
1645,bridal,3
1646,bride,15
1647,bridge,22
1648,brief,9
1649,briefing,3
1650,briefly,2
1651,briefs,1
1652,brig,1
1653,bright,56
1654,brighten,10
1655,brightening,1
1656,brightly,2
1657,brightness,1
1658,brill,10
1659,brilliance,2
1660,brilliant,90
1661,brilliantly,1
1662,brimstone,1
1663,bring,374
1664,bringer,1
1665,brink,2
1666,brioche,2
1667,brisk,1
1668,brisket,2
1669,brit,16
1670,brith,1
1671,brittle,1
1672,broad,8
1673,broadcast,15
1674,broaden,1
1675,broadway,8
1676,broccoli,1
1677,brochure,3
1678,brogan,1
1679,broke,177
1680,broken,134
1681,brolly,1
1682,bronchiolitis,2
1683,bronchitis,1
1684,bronco,3
1685,bronze,4
1686,bronzed,1
1687,broo,2
1688,brooch,1
1689,brood,2
1690,brooding,1
1691,broody,4
1692,brook,35
1693,brookie,1
1694,brooky,1
1695,broom,2
1696,broth,2
1697,brother,213
1698,brotherly,1
1699,brough,1
1700,brought,61
1701,brow,5
1702,brown,62
1703,brownie,6
1704,browning,1
1705,browny,20
1706,browse,7
1707,browser,28
1708,browsing,7
1709,bruin,2
1710,bruise,7
1711,bruiser,1
1712,bruising,2
