ItemID,Sentiment,Tokenized
161,0,watching bed shopping w w hopefully need best friend
162,0,weird encounter many homeless creep walk home tonight awesome really
163,0,rain truck race
164,0,feeling worse f
165,0,feeling pain happiness time
166,1,hot best
167,0,shirt panties
168,0,turn back north due body line missing design council design tech transfer event
169,0,everything hard
170,0,good bye good night
171,1,beach day still phone
172,0,fun give ya give ya
173,0,want move
174,1,amazing night day night hi twit miss u guy
175,1,national seashore
176,1,progress production department thats priority getting head nodding beat reach
177,1,enjoy b new venue always cool shine everywhere go know time everyone
178,0,train crash
179,1,
180,1,make smile
181,1,first day week child got watch nancy
182,1,woody woodpecker barber great wishing
183,1,happy stay around fabulous university yeah
184,0,happen angel demon lion tiger bear
185,0,well sure minim impact
186,1,call dibs arm leg wait manners
187,1,saw ur mum
188,1,get fat ass
189,1,see three external monitor one win x x
190,1,cool cool maybe send cool
191,1,want start morning later new york even better
192,1,find c
193,1,making garlic bread
194,1,tell said happy
195,0,went work last year pants ironically last day work job
196,1,told would sweep
197,0,r many science cartoon
198,0,fringe week away need money blame twitter intrusion
199,0,didnt come school done short stack thing still need
200,0,one latter us store
201,0,thinking less chance stays go blame though
202,0,wud make beautiful cry
203,0,outer fat
204,1,server backup experience problem please let know sorry delay
205,1,yes j k like gentle breeze blown
206,0,se mi se vale
207,1,future holler
208,1,hope u cheese
209,1,awesome
210,1,nothing kind everything sort
211,1,pick flower teacher jealous want flower without hospital get
212,1,think na mas security chain strong link
213,0,account suspended single ladies dance need watch
214,0,know sold though
215,1,watch
216,1,thanks k hope pretty nervous though
217,0,get aim talk miss
218,1,follow
219,1,tell ya grocery store better blasted sugar ray make
220,0,make want keep kosher roomy catholic pork loin
221,0,home neither u better
222,1,bitch better wake early go la opera kay
223,0,immune dentist drill bother gum lift surgery next week tho
224,0,r u tonite still awake
225,0,hate
226,1,like used say ka
227,1,
228,1,chilling twitter via spanking new blackberry w unlimited
229,1,give every inch love every night
230,1,
231,1,maybe pop tweet quite active twitter
232,1,shame woman mamma horny since men island
233,1,thanks let know going check eureka later knowledge
234,0,u refer
235,0,
236,1,hey oh
237,1,happy mother day
238,1,knew written intern knew
239,0,miss much already
240,0,feel
241,0,miss love jami
242,0,
243,0,head feel like bowling ball
244,0,heart hurt badly
245,0,f keep crash try load plane
246,0,current headset deathbed dad gave week back
247,0,mood currently blah sitting parking lot
248,1,happy
249,0,
250,0,everyone went home everyone even
251,0,fed
252,0,
253,0,feeling today make matter worst super nasty rainy outside yuck
254,0,
255,0,want win bummed didnt
256,0,bed time
257,1,para world drawing day
258,0,friend like thanks fake
259,1,lawn still goi tanning soon
260,0,think cheating
261,1,play camera settle play heart monitor
262,0,want drive
263,0,want display pretty upside get two pretty
264,0,want find way put photo phone phone computer work
265,0,effort bring best content added lease hour release digital rapture soon tight
266,0,response happen today
267,0,j right hurt
268,0,really
269,0,moment silence childhood home sadly never go back
270,1,hilarious
271,1,man oh man punch head
272,1,friend get ur friend b friend could every coop n crew
273,0,man worth tear one make cry
274,0,rain rain go away
275,0,storm scary
276,1,beautiful satisfying day bargain shopping love
277,0,tell girl clock
278,1,thank god today love ti ti
279,0,batt connection die guess back mobile
280,1,thrill work morning
281,1,break dance hearts short stack love song
282,0,
283,0,apple card us maybe tomorrow guess help tweet huh forgot
284,0,unsure hassle music
285,0,exhausted
286,0,want ben jerry cake batter please ugh
287,1,life
288,0,wish somebody
289,1,good mood
290,0,think going go long drive get pacific ocean open car door throw ocean
291,0,hell
292,0,
293,0,dont like weekend
294,0,get right away
295,1,j made nice twice
296,1,love life brilliant
297,1,else happy mood
298,1,bye everyone
299,0,lonely night
300,0,blue work
301,0,feeling pain
302,0,miss summertime
303,0,computer ill
304,1,far good
305,1,today great day
306,0,
307,0,
308,1,lot lot lot lot lot lot lot lot lot lot lot lot
309,0,want win bummed didnt
310,0,curtain drop crown uptown ye
311,0,eh must leave new soon
312,0,fail math knew slow
313,0,oh report sound like leadership still considering library cut considering tax increase
314,0,sake thing never work
315,0,going town netball match
316,0,hope see baby girl
317,0,even know
318,0,lost member family
319,0,sick bedtime battle
320,0,cold morning chill
321,0,
322,0,tonight goes book worst result show
323,0,shopping
324,0,poor mousey enjoying sunny day think feel bad big gnarly rat though standard yep
325,0,epic sad face
326,0,magazine story broke heart office today
327,1,tiger wood via
328,0,go meet
329,0,wondering feel like feel better though good happy tweet ya lata
330,1,let gather hay love found way boy stay added holy way way
331,0,one realize deep goes
332,0,body air franc crash found via
333,0,story life whole bunch frowny
334,0,friend twitter make sad someone follow
335,0,want hear guess ask much
336,1,working know boss lady look seriously
337,0,really like condition
338,0,lost series oh well maybe phoenix boston team like make next year
339,0,suck
340,1,thanks
341,0,mad sad right play terrible today soccer basketball
342,0,mustache man desperate
343,0,face missing tonight
344,0,know huh bout cry thanks marco
345,0,angry
346,1,praise god beautiful day
347,0,sri hear
348,0,
349,0,bye world
350,0,even one night
351,0,working willow come near fail
352,0,cell phone screen dead text know calling
353,0,sickness strike say strike well nother day school guess
354,0,nobody like year one review read disappointed maybe like since expect much
355,0,must say
356,0,old dead gone
357,0,go minute please please please
358,1,love ring
359,1,chance boo
360,1,thank much suggestion nice look good
361,0,really hate
362,0,bad day
363,0,bad day damn kind ticket sale
364,0,boston globe could shut days
365,0,bye guy miss much worry back awesome weekend peace
366,0,follow sad losing hope pressure
367,0,da w music
368,0,cry cry cry
369,0,f day
370,0,
371,0,grandma sick well going emergency room
372,1,wonderful day
373,0,going shed tear go home tonight like seriously
374,0,sad point night like year
375,0,hate forever
376,1,pass exam today
377,0,miss
378,0,still feel like
379,1,want write song think
380,1,always thought time estimate use value pi rule x exception pi squared rule
381,1,creativity via twitter
382,1,tease hear track
383,0,never answer
384,1,student safety
385,0,father day picked yet kind want incessantly bother
386,1,
387,1,love trio californium
388,1,case need help w
389,1,sure love
390,1,twitter profile heart first pic
391,0,longer cab say heartbroken understatement good luck everything amazing
392,0,broke twitter
393,0,clubbing must come sometime party really probably tech conference
394,1,figure people either
395,0,ambition go brother concert went new album already sold
396,1,happen movie anyway like forgot rough times public want see
397,0,yell pick apple store food
398,1,whoops credit due
399,1,exit
400,0,cat kitten die days old rip ming
401,0,week palm comes die temp phone contact transfer yet
402,1,chicken double cheeseburger large fry lemonade dinner may ask hate body
403,0,da phone dude hilarious
404,1,tweet breakfast everything bagel toast w cream cheese iced cap
405,0,video dam making big
406,0,new footwear label norm definition never refer document wrote
407,0,big angry spider crawling flick floor cant sleep
408,1,blessed everyone
409,0,couple year sickness piled one day
410,1,dog riding bicycle
411,0,fly landed green chile stew never big killing bug ask goes appetite
412,1,problem share buck pass
413,0,got handshake meeting suck
414,1,
415,0,whats tweet
416,0,beating board game
417,1,quite tired wait till
418,0,anyone advice cope break
419,0,line communication temporarily suspended
420,1,awake ready day
421,1,nasty studio woman go sleepy
422,0,understand
423,0,car inspect today cost dollar
424,0,e
425,0,everything wrong
426,0,exercise build muscle mass thing speed metabolism
427,1,feeling first time days thank
428,1,found new way text
429,0,friend dying horrible
430,1,going paddle
431,1,good hope grandma visit dream tonight last night uplifting miss
432,1,funny hope people bring us good thing start early week
433,0,best
434,0,craving chocolate funny pub last night
435,0,dont want sister leave whole summer
436,0,hope everyone church go concert peace wed dont worry rushing back church visit
437,0,spilt last jordan cereal floor distraught
438,0,miss family friend
439,0,see miss nectar sucking dirty talk
440,0,want freak puppy cute little black terrier
441,0,want back
442,0,glad diversity got
443,1,tell ya yummy decided go hunt blender drink know good one
444,0,
445,0,serious go
446,1,new band amor
447,0,environmental study driving mental
448,0,always seen bit piece seen whole movie end sad cry
449,1,another day paradise
450,0,found bone chicken nugget cool
451,0,like said back still hurt going complain like business
452,1,love
453,0,dog getting put he dogs brother aswell
454,0,head feel like going explode horrendous image mess
455,0,head killing
456,0,name amy three eye swollen cannot see must stupid must bad
457,0,picture gone forever comment
458,0,confirmed missing air franc flight crash
459,0,comment gone cause someone hacked onto will account kept other delete
460,0,school soon wait celebrate stre till
461,1,pop movie chill bit get call n text
462,1,swim
463,0,missing air franc plane follow best air news source
464,0,reading til suck
465,0,crap night looking forward cheered never mind
466,0,ah postman package goon rest day
467,1,school ready
468,1,roger indeed best
469,0,airport express rock enough allow wireless scanning canon otherwise wireless goodness
470,0,friend kitchen want cup tea
471,0,day play
472,0,dressed bicyclist ride n
473,0,want arms want arms
474,0,friend gone n camp pari n aunt n bore
475,0,nightmare coming week cannot wait graduate
476,1,small thing
477,0,post making sad mean knew see other word sad
478,0,didnt win
479,0,almost time leave
480,0,already getting sleepy really want get psych quiz done tonight
481,1,always nice thing wake gosh typical lame nice nap
482,1,excited
483,1,happy
484,1,feeding pig
485,0,losing mind cause see right min want daisy
486,0,sad say get result today somehow school forgot mail result typical ugh
487,1,alarm clock device waking people small child
488,0,mend broken heart
489,0,think felt really sick depressed school today stress glad got chest
490,0,starting get confident torn
491,1,
492,0,another min
493,0,another early day
494,0,another day weekend get spend dad
495,1,another night rock band
496,0,tough day ahead
497,0,anyone know region free get us copy
498,1,million making difference help believe came believing leave believing god
499,0,
500,0,wrong wit
501,0,nose itchy eye burning hope getting better soon
502,0,keep coming
503,0,another expensive weekend trip vet
504,0,party tonight bore home seem like everyone busy
505,0,prawn make pain better
506,0,beloved diabetic dwarf hamster die hand morning creature worthy love
507,0,pinkeye fun
508,0,die cancer news via
509,0,feeling hopeless useless
510,0,forgot lunch home
511,0,general motor sold hummer
512,1,good morning great day
513,0,
514,0,night must prepare tomorrow meeting
515,0,great bore moment idea missing damn
516,1,day
517,1,hot
518,1,
519,0,five guy location closed visit inside edition rat patrol
520,0,actually crying sore throat
521,0,feel irresponsible sort horrible unless otherwise stated gelatin
522,0,miss brother worry
523,0,need think something else first
524,0,want win
525,1,happy yea
526,0,got bad news
527,1,got home
528,0,mean
529,1,saw sink whole video seen load much better
530,0,limp
531,0,love save empty
532,0,camera broke
533,1,person ever
534,0,parent left
535,0,open go
536,0,ass beat checked playhouse weekend well feeling quite rest bit sort
537,0,nothing
538,0,talk stuff tomorrow talk real soon doodle
539,1,pie seem quite good appetite
540,0,server problem change hosting provider though
541,0,shake head
542,0,shock loss sparks bummer great game shock many injury start season rematch
543,0,got hold sign mail non stop anyone blocker
544,0,someone said ast least pretty thanks pretty get nowhere much integrity
545,0,people get really angry answer right away
546,0,never get photo comment space
547,1,penguin red wing final red wing lead series star visit
548,0,ticket cyrus tour
549,0,photo shoot rain oh well back post
550,1,r p young miss year sence die dont ashamed faith
551,0,rip j world one less fine fellow
552,0,talk even depressed get ticket oh well
553,1,amazing
554,0,bore
555,0,much good weekend
556,1,thank
557,0,hotel know either favorite
558,0,plan own judge
559,0,year million child cause
560,0,think cool guy like anime
561,0,mother whose day may happy god love waterfall
562,0,today good day guess laying around house undies bad
563,0,went party came home without phone feel lost confused thats booze talking
564,0,get release date
565,0,grandma told think stupid well hey thanks g
566,1,
567,1,
568,0,necklace rather usual want
569,1,
570,0,
571,1,
572,0,signal detect garden
573,0,
574,1,
575,1,pic u want tell cause got
576,1,expression watching
577,0,beach ball fail
578,1,writer stunt double hand model dishwashing liquid
579,1,love care know elf
580,0,rain c supertramp
581,1,must people insist talking stupid politics comment pop song sorry get
582,0,alone
583,0,apparently new build meaning likely minute issue
584,0,annoying morning say hogged bed night get shower little black kettle self
585,0,
586,0,speaker screwing slowly dying
587,1,simple get
588,0,brown honestly dont feel bad anyways
589,0,last night
590,1,tweet lady saying tweet later lady saying good morning crazy would never yr ago
591,1,nursery wail ended sleeping soundly working morning shift grr
592,1,random mention core deal almost twice much sense tied every night
593,0,work
594,0,work got load leave today toodle
595,0,attempt get people twitter cate talk failing
596,0,aw toy story coming next year
597,1,awake finally random dream penguin lived jersey oddly lived store
598,0,awesome
599,1,awesome black coffee anyone
600,1,great song picture burn
601,0,homework
602,0,someone borrow without telling
603,0,work back making little one
604,0,b genetics towards really suck got class b
605,0,baby die last night day
606,0,baby upset need sewing almost finally eating little dinner sigh
607,1,baby sitting today shopping tomorrow rue best ever
608,1,baby like favorite dessert get enough love
609,0,back missing
610,0,back pain
611,1,back basic
612,0,bad day broken glasses rainy weather
613,0,bad night pen
614,0,bad timing new mommy call picture fit baby schedule matter hard try
615,1,burst so dance
616,0,bank account negative
617,1,bas one last time update status
618,1,baseball
619,0,closed guess
620,0,bed get early days summer
621,0,bed time
622,0,oh well people
623,1,days straight never sleep
624,0,afraid food eating disorder right
625,0,told beautiful doesnt make tummy better
626,0,besides great graduation day made graduate word chapter close keep pushing
627,0,still phone pa raw afternoon oh well days one day another day another destiny
628,1,nice day
629,1,summertime jazzy jeff fresh prince
630,0,commission
631,1,weather
632,0,thing good head may around lot weekend
633,1,third date went well moving fourth
634,1,death awesome random comic certifiably sane
635,0,try enjoy ur family need love brave know u r strong ur prayer
636,1,twilight
637,0,twitter wont let send reply today boo
638,1,two days
639,0,
640,0,uva baseball come boy
641,0,water works start
642,0,well wrote missive post last night thing happen got tho
643,0,well guess knew going break sometime
644,1,
645,0,rain
646,0,
647,1,go day
648,1,star testing week start school week school maybe
649,1,live bed
650,1,
651,0,giveaway
652,1,
653,1,smiling
654,0,asleep gather thing dark burn finger left spark
655,0,news map climate change forecast picture paint alarming one
656,0,giving care mess life
657,0,meteorologist predict chilly rainy midsummer news finland thunder
658,1,portable game system
659,1,promote site getting front page place social media
660,1,universe living conscious old care lots ways
661,1,world make music people listen
662,1,new share feature pollute twitter
663,0,angry mixed motion x
664,0,mood
665,1,exit bought hope everyone like
666,0,hug
667,0,send
668,0,tear
669,0,cry depressed thanks angel find someone someday might actually treat well
670,0,way doctor duo ass even breakfast yet
671,0,sob must bed
672,0,wish summer jam
673,0,school mood take make back put teacher leave
674,1,miss much
675,0,
676,1,well gon stop w faithful like point em
677,0,bad us come
678,1,day
679,0,anybody come house cook work aint cook trust hoe
680,0,know
681,0,think lost book x
682,0,life complicated know god plan trust
683,0,oh well least air
684,0,really good night guy
685,0,get cast keep looking dance opportunity need exercise
686,0,ground around wet look see drop fall face drizzle around missing drop
687,0,forgot bring new sharpie pen school today
688,0,happen year get bill
689,1,last gadget
690,0,horrible
691,0,one person make smile
692,0,killing hate
693,1,flower
694,0,working
695,1,finally got twitter
696,1,
697,1,think may connection reason movie theater
698,0,saw even comprehend couple feeling really tragic
699,1,temperature pain still bad hope antibiotic kick soon thanks ask
700,1,said tweet less days hi
701,1,would love see guy sometime grin aw rat maybe warm real fast
702,0,hope actually birthday getting shot
703,0,signature rubbed bracelet least plenty autograph still sad day
704,1,
705,1,happen gone anybody get arrest
706,1,know u find replacement still pay u let u
707,1,seeing guy dressed banana totally made day phallic symbol
708,1,yep coz game
709,0,ruin
710,1,boo blush
711,1,
712,0,want buy sold
713,1,aint apologize know ugly
714,0,
715,0,yep thing way time selfish everything around yep bitch great
716,0,get rid twitter guy cool
717,0,try try hard seem get credit wat prob
718,0,wide awake dont actually go school
719,0,dream beautiful
720,0,one roommate
721,0,minute turn frown upside
722,0,cant even say word right
723,0,sad u exam think u
724,0,
725,0,feel shallow breath squeeze past fifty pound stone laid chest
726,0,found friend childhood pass away may rest peace
727,0,still office
728,1,
729,0,sniffle since dont get leave house aw great gone getting dark
730,0,feel left
731,0,sigh didnt win contest stupid popularity contest many vote also sad good feeling
732,0,thing complicated spelt wrong
733,0,thing complicated spelt thy wrong
734,1,butterfly day
735,1,mean
736,0,international airport
737,0,brother suspended
738,0,court traffic ticket b sleeping
739,1,work hour today wait long weekend begin get thing done sure
740,1,praying cold go head skunk spray yard w
741,1,creat realm light pure love command fold think speak love new world behold
742,1,music quiet sure massive hoax play alone
743,0,sold frozen banana today
744,0,car come either
745,0,disappear
746,0,tell daughter lower ticket price cant afford sister cried
747,0,cat huge fan also think think hold
748,1,speaking historian incorporate twitter buzz upper middle class north ame
749,0,star angel die cancer
750,1,yes show suggest ought celebrity
751,1,dear hyper minute left together drive
752,1,capital would one well
753,1,looking soon cool name add k end
754,0,
755,1,yea really see win
756,1,great follow
757,1,sorry bae u got u swear go buy construction paper
758,0,hey long yeah
759,1,nobody told violent covered gnarl dude
760,0,unfortunately coming drive path
761,0,gig weekend cancel may temporary shut good still trying find boo
762,1,start working warm fluffy tweet realizing especially like far
763,1,news getting
764,0,mad
765,1,
766,0,play ur joint two song ago everyone studio feeling
767,0,get excited
768,1,post warm wish enjoy ur day
769,1,welcome
770,1,miracle modern science child
771,0,stopped talking stalk
772,0,know nice sleep even comfy bed even sleeping bag would
773,1,try sex bing deactivate safe search go video site without lea
774,0,court
775,0,meet tonight please tell story laker fan made miss show
776,1,thanks
777,0,hope get better soon
778,0,saw
779,0,slept late wonder u u think leave country week days
780,0,one
781,0,bloody five give away house sky subscription
782,0,upset
783,1,well praise lord gud mood need b thigh dark cloud scare
784,0,sending tweet wrong account although selected right one
785,1,aw sweet tweet last night absolute
786,1,big ass smile face boo
787,0,feel like
788,1,hair
789,0,boo
790,1,bore nothing pretty shy girl
791,1,going
792,0,boring damn guess better get use
793,0,boro let getting tight
794,1,graduation voice recital
795,1,breakfast family
796,1,got talent right good luck
797,0,bummed missing chat stupid responsibility
798,0,burnt tongue hot chocolate downside
799,0,eat popcorn getting better
800,0,want summer
801,0,love
802,0,brown nose telling beauty said day sorry someone die
803,1,suddenly something happen write
804,0,first see movie award sad looking forward
805,0,join
806,0,canon well sorry left u car days mourn loss
807,0,cant afford see angel demon watched free
808,0,get might b crying club
809,0,cant get watch movie suppose wait till release
810,0,log computer work got lots guru today anyone help
811,0,make label til computer fixed fix computer make money make money unless sell soap
812,0,sleep suck egg bacon suppose get early
813,0,sleep damn miserable itchy please help sleep going cry
814,1,wait hill finale tonight
815,1,wait weekend
816,0,bad eye infection waiting hear vet see found anything
817,0,oral
818,1,certification test morning feeling much better one today
819,1,name name background
820,1,chilling
821,1,chocolate cake delicious strawberry yummy yummy
822,1,church good think going
823,1,city tonight mae
824,0,even use single twitter
825,0,cold despite heater weirdly though actually cold today
826,0,come
827,0,come party
828,1,come id love meet fun beautiful love l
829,1,coming home stretch j
830,0,computer moment
831,1,state senator elect democrat mark
832,1,content made pac let see long last
833,1,first time
834,0,could night worse
835,0,find
836,0,cramp
837,0,crap day tat get
838,0,credit card bill ow wallet
839,0,dad came back ask us go till go back forth us poor
840,0,dad got turn power
841,0,sleep day
842,0,damn someone right damn guess sleeping tonite text
843,0,damn u still sleep look think royalty beat city council
844,0,damn didnt make time border closed drove toher side state make ti sniff sniff tired
845,0,damn lost three follow getting close fifty help
846,0,damn something wrong
847,0,dan birthday
848,0,darn city want leave
849,1,studio ur get lyric shrug
850,0,bedtime
851,0,miss train
852,0,depressing day
853,0,silly stuff thats
854,0,get go see oh well ended going dinner blase
855,0,get much sleep cos grr time work
856,0,get car scheming tonight sad get looking like complete bogan
857,0,go last night fell asleep suck literally
858,1,time busy enjoying love making sleep clothes eating weather miss
859,0,think netball coz rain got one take mane going b annoy
860,0,win twitter contest boo
861,0,lost hard
862,1,dinner bath workout run
863,1,diplomatic husband wife u expect remember ur birthday u never look older via
864,0,
865,0,anybody know statistics homework start nobody answer business study
866,0,know get fir tattoo
867,0,dont feel good ptosis
868,1,forget vote today
869,0,ignore smell sizzling skin sitting sun
870,0,dont know whats wrong
871,0,like ending night stupid home improvement crap
872,0,go work
873,1,think coin new word twitter dictionary
874,0,guy fun last night hope got text pub tomorrow
875,1,
876,0,know miss someone bitch tram bad customer service lack
877,0,class answer work road n hungry eat
878,1,funny fact population following h
879,1,miss really year might end visiting land wish
880,0,guess end love affair
881,1,
882,1,taking lunch today
883,0,
884,0,busy see evening boy
885,0,never twitter
886,1,
887,1,twitter maintenance night really listening think wo
888,1,leafy potted plant
889,0,quits twitter via
890,0,would love meet made plan already get another opportunity soon
891,1,lovely compliment much
892,1,
893,0,update x st correction dead female complete coroner handle
894,0,still together happy happy happy
895,0,oh good link
896,0,front black would got white one black look sleek white
897,0,full voice control making want charge fortune contract til
898,0,tell em suck ur always make feel better
899,1,awesome quarter ladies great game
900,0,messing mind
901,1,quite opposite
902,1,night thanks call
903,0,make cry
904,1,know difference like say long time long time
905,1,thank genuinely grateful
906,1,pretty much look like candy floss machine today
907,1,poster look like look interesting fold content
908,0,dont leave today
909,0,dont worry still
910,0,chips
911,0,one movie yesterday problem deserve
912,0,driving airport say good bye
913,1,tonight tomorrow day night beauty
914,0,dude almost shock lesson learned never get shower think electricity hate ur ass
915,0,eaten steak feeling good much better missing lady though
916,0,eating last fizz
917,0,day try cram organic chemistry back head final tomorrow ugh
918,0,bitch
919,1,
920,0,text saying theyre read text speak
921,0,emotional
922,0,f c got beat final f cup f c oh well least got final play well
923,0,oh well
924,0,every day
925,0,every one talking gone able talk till tomorrow feel lonely x
926,1,every often catch reflection think one cool tch one days
927,0,every time leave room miss sending gone day universe
928,0,everyone drunk
929,0,everyone dying
930,0,exam help
931,0,expensive car repair
932,1,explore twitter
933,0,f ing red wing
934,0,fail inspection know pass wo oven wo bracket sold w oven worse tax
935,0,failing everything give
936,1,fame michigan bookstore close door
937,0,going home take sister riding oh boring day
938,0,die cancer
939,0,
940,0,kick open
941,0,pessimistic
942,0,feeling sad
943,0,feeling sad leaving
944,0,feeling reality setting know beyond point still want follow dream scare
945,0,feel bad poor thing
946,0,female model tortured prince
947,0,ferret much cooler fish
948,1,field trip today leaving
949,1,finally home bout get ready college tomorrow excited
950,0,finally check result million afraid oh well win
951,0,finding video frequent fact closed cancel account much super cheap
952,0,hope fun replacement busy getting drunk u
953,0,miss call u tomorrow reduce number q tomorrow seriously
954,1,catch crab
955,1,light bit punch mission san gin liqueur seem apt name
956,1,super stupid stuff making feel better
957,0,lose lead
958,1,anyone else said something
959,0,mean best religion thing follow right way
960,0,bow raid back inn speedy recovery mate
961,1,
962,0,worse day ever boss work finally done late night photo shoot flat
963,0,call made sad
964,0,didnt win first award nominated oh well she tied nomination
965,0,say crush sad grandfather rip commie
966,0,well none us getting alive would like stay wish people would stop killing
967,0,boston boo roll summer already x
968,0,sorry got carried away gossip another note pass hippo birdie big koala hug k
969,0,office know hard believe people want employ
970,1,
971,0,hi ur back ur next need really good hug friend give
972,0,lost group thats good thing follow
973,0,guardian student report kill crackdown violent clash
974,0,badly one know got far
975,1,said mac install os x yes design goes colostomy bag
976,0,
977,1,
978,0,next days
979,1,happy
980,0,regret pop pill
981,0,month bed already failing see
982,0,days mi amor stubborn comes call bugaboo type
983,0,hear n couple steer clear reality show say
984,1,national softball champion husky
985,0,item arrive still waiting show web page
986,0,finished paper
987,1,first days always good wish dentist gave hour though
988,0,cant talk love imu
989,0,fact get work done
990,0,forgot today check see game want buy oh well maybe tomorrow
991,0,found mosquito bite tend get really swollen red distract caffeine
992,1,found way make private
993,0,four fake people added people like twitter
994,0,frank vegetarian
995,0,lost
996,0,man hate work
997,0,
998,0,money running job
999,0,ugly person
1000,1,
1001,1,good morn happy birthday regardless said yesterday realize behind
1002,0,much less trying tell
1003,0,clearly suck
1004,0,already scored
1005,0,lost friend say like day crazy event
1006,0,getting
1007,1,getting mani husband
1008,1,getting today
1009,0,getting ready leave spring city going miss show tonight
1010,1,getting ready watch sprint cup boy try tame concrete monster mile hopefully tire much issue
1011,0,girl girl fight enough go around
1012,0,phone suck
1013,1,talk work
1014,0,go away migraine welcome
1015,0,go away rain
1016,1,go follow personal twitter
1017,1,go wing
1018,1,god early still asleep today party day getting stuff ready x
1019,1,going home see baby dont ashamed faith
1020,1,going dinner family
